scenario_id,task_type,difficulty,score,notes
stab_simple_stack_436421758,stability,medium,0.3,"stable=True, events=5"
stab_chain_collapse_1817466018,stability,medium,0.3,"stable=True, events=5"
stab_mixed_shapes_1429455611,stability,medium,1.0,"stable=False, events=5"
stab_pyramid_2018441127,stability,medium,0.3,"stable=True, events=5"
stab_cantilever_1509181529,stability,medium,0.3,"stable=True, events=5"
stab_simple_stack_1917577739,stability,medium,1.0,"stable=False, events=5"
stab_arch_1628501392,stability,medium,0.3,"stable=True, events=4"
stab_offset_stack_1750527310,stability,medium,0.3,"stable=True, events=5"
stab_cantilever_9254809,stability,medium,0.3,"stable=True, events=5"
stab_friction_dependent_1183295414,stability,medium,0.3,"stable=True, events=5"
stab_arch_158130466,stability,hard,0.3,"stable=True, events=4"
stab_friction_dependent_592252840,stability,hard,1.0,"stable=False, events=5"
stab_cantilever_1276329224,stability,hard,0.3,"stable=True, events=5"
stab_offset_stack_1573479979,stability,hard,0.3,"stable=True, events=5"
stab_mixed_shapes_810637317,stability,hard,1.0,"stable=False, events=5"
stab_arch_1247264194,stability,hard,0.3,"stable=True, events=4"
stab_chain_collapse_1946270779,stability,hard,0.3,"stable=True, events=5"
stab_friction_dependent_1358189006,stability,hard,1.0,"stable=False, events=5"
stab_cantilever_153013494,stability,hard,0.3,"stable=True, events=5"
stab_simple_stack_1676861832,stability,hard,1.0,"stable=False, events=5"
stab_offset_stack_1156442794,stability,hard,0.3,"stable=True, events=5"
stab_adversarial_stability_1363373678,stability,hard,0.3,"stable=True, events=5"
stab_chain_collapse_1720859974,stability,hard,0.3,"stable=True, events=5"
stab_friction_dependent_2033438115,stability,hard,1.0,"stable=False, events=5"
stab_pyramid_828719399,stability,hard,0.3,"stable=True, events=5"
stab_simple_stack_343242241,stability,hard,0.3,"stable=True, events=5"
causal_domino_line_1127083814,causal_chain,easy,0.9999999999999999,"events=5, outcome_len=130"
causal_conservation_chain_1950802620,causal_chain,easy,0.9999999999999999,"events=5, outcome_len=125"
causal_rube_goldberg_simple_1962822624,causal_chain,easy,0.9999999999999997,"events=13, outcome_len=57"
causal_seesaw_launch_183464651,causal_chain,easy,0.9999999999999998,"events=14, outcome_len=88"
causal_domino_line_2139328001,causal_chain,easy,1.0,"events=4, outcome_len=130"
causal_conservation_chain_1421045312,causal_chain,easy,0.9999999999999999,"events=5, outcome_len=125"
causal_rube_goldberg_simple_268059290,causal_chain,easy,0.9999999999999999,"events=15, outcome_len=56"
causal_seesaw_launch_82341141,causal_chain,easy,0.9999999999999999,"events=15, outcome_len=89"
causal_domino_line_438443215,causal_chain,easy,1.0,"events=4, outcome_len=130"
causal_conservation_chain_185429777,causal_chain,easy,0.9999999999999999,"events=5, outcome_len=125"
causal_rube_goldberg_simple_1230893748,causal_chain,easy,0.9999999999999996,"events=11, outcome_len=55"
causal_seesaw_launch_1396008817,causal_chain,easy,0.9999999999999996,"events=11, outcome_len=91"
causal_domino_line_653834209,causal_chain,easy,0.9999999999999999,"events=5, outcome_len=130"
causal_conservation_chain_1542260884,causal_chain,easy,0.9999999999999999,"events=5, outcome_len=125"
causal_rube_goldberg_simple_543585822,causal_chain,easy,0.9999999999999996,"events=12, outcome_len=55"
causal_seesaw_launch_37479664,causal_chain,easy,1.0,"events=16, outcome_len=88"
causal_domino_line_1257363291,causal_chain,medium,0.9999999999999998,"events=7, outcome_len=194"
causal_branching_chain_1630439065,causal_chain,medium,1.0,"events=26, outcome_len=175"
causal_timing_gate_478376233,causal_chain,medium,0.9999999999999998,"events=14, outcome_len=101"
causal_rube_goldberg_complex_1283922956,causal_chain,medium,1.0,"events=50, outcome_len=203"
causal_seesaw_launch_1641638750,causal_chain,medium,0.9999999999999997,"events=13, outcome_len=89"
causal_conservation_chain_263301741,causal_chain,medium,0.9999999999999998,"events=7, outcome_len=189"
causal_rube_goldberg_simple_828280439,causal_chain,medium,0.9999999999999998,"events=14, outcome_len=55"
causal_domino_line_1611932209,causal_chain,medium,0.9999999999999998,"events=7, outcome_len=194"
causal_branching_chain_945711262,causal_chain,medium,1.0,"events=26, outcome_len=175"
causal_timing_gate_1361588927,causal_chain,medium,0.9999999999999998,"events=14, outcome_len=101"
causal_rube_goldberg_complex_2117266091,causal_chain,medium,1.0,"events=50, outcome_len=203"
causal_seesaw_launch_393628719,causal_chain,medium,1.0,"events=20, outcome_len=88"
causal_conservation_chain_269980335,causal_chain,medium,0.9999999999999998,"events=7, outcome_len=189"
causal_rube_goldberg_simple_138230178,causal_chain,medium,0.9999999999999997,"events=13, outcome_len=55"
causal_domino_line_18143039,causal_chain,medium,0.9999999999999998,"events=7, outcome_len=194"
causal_branching_chain_210583763,causal_chain,medium,1.0,"events=26, outcome_len=175"
causal_timing_gate_495539488,causal_chain,hard,1.0,"events=9, outcome_len=104"
causal_conservation_chain_1603476111,causal_chain,hard,1.0,"events=9, outcome_len=253"
causal_near_miss_1411472143,causal_chain,hard,0.9999999999999999,"events=5, outcome_len=63"
causal_domino_line_659485848,causal_chain,hard,0.9999999999999996,"events=11, outcome_len=290"
causal_rube_goldberg_complex_1294868279,causal_chain,hard,0.9999999999999982,"events=78, outcome_len=285"
causal_seesaw_launch_1065180796,causal_chain,hard,1.0,"events=17, outcome_len=92"
causal_branching_chain_369150277,causal_chain,hard,0.9999999999999982,"events=52, outcome_len=245"
causal_timing_gate_1827037837,causal_chain,hard,1.0,"events=9, outcome_len=104"
causal_conservation_chain_1570921569,causal_chain,hard,1.0,"events=9, outcome_len=253"
causal_near_miss_1754852311,causal_chain,hard,0.9999999999999999,"events=5, outcome_len=63"
causal_domino_line_1272472050,causal_chain,hard,1.0,"events=9, outcome_len=290"
causal_rube_goldberg_complex_446948494,causal_chain,hard,0.9999999999999982,"events=78, outcome_len=285"
causal_seesaw_launch_1108369145,causal_chain,hard,1.0,"events=20, outcome_len=91"
causal_branching_chain_1569495545,causal_chain,hard,0.9999999999999982,"events=52, outcome_len=245"
causal_timing_gate_1705067964,causal_chain,hard,1.0,"events=9, outcome_len=104"
causal_conservation_chain_764740840,causal_chain,hard,1.0,"events=9, outcome_len=253"
tool_redirect_ball_1693605334,tool_use,easy,1.0,perfect run simulated
tool_lever_advantage_720892920,tool_use,easy,1.0,perfect run simulated
tool_launch_and_catch_942553001,tool_use,easy,1.0,perfect run simulated
tool_reach_height_1484963230,tool_use,easy,1.0,perfect run simulated
tool_bridge_gap_727307421,tool_use,easy,1.0,perfect run simulated
tool_redirect_ball_132974404,tool_use,easy,1.0,perfect run simulated
tool_lever_advantage_1465684388,tool_use,easy,1.0,perfect run simulated
tool_launch_and_catch_295920795,tool_use,easy,1.0,perfect run simulated
tool_reach_height_1317898922,tool_use,easy,1.0,perfect run simulated
tool_bridge_gap_1923217908,tool_use,easy,1.0,perfect run simulated
tool_redirect_ball_1010450384,tool_use,easy,1.0,perfect run simulated
tool_lever_advantage_1020886025,tool_use,easy,1.0,perfect run simulated
tool_launch_and_catch_336959900,tool_use,easy,1.0,perfect run simulated
tool_reach_height_1343813540,tool_use,easy,1.0,perfect run simulated
tool_bridge_gap_1454871611,tool_use,easy,1.0,perfect run simulated
tool_redirect_ball_979659692,tool_use,easy,1.0,perfect run simulated
tool_clear_path_926226808,tool_use,medium,1.0,perfect run simulated
tool_bridge_gap_72149803,tool_use,medium,1.0,perfect run simulated
tool_lever_advantage_67564183,tool_use,medium,1.0,perfect run simulated
tool_redirect_ball_865040653,tool_use,medium,1.0,perfect run simulated
tool_launch_and_catch_879617598,tool_use,medium,1.0,perfect run simulated
tool_reach_height_1298843741,tool_use,medium,1.0,perfect run simulated
tool_clear_path_1233309593,tool_use,medium,1.0,perfect run simulated
tool_bridge_gap_1442337443,tool_use,medium,1.0,perfect run simulated
tool_lever_advantage_549217894,tool_use,medium,1.0,perfect run simulated
tool_redirect_ball_1905870651,tool_use,medium,1.0,perfect run simulated
tool_launch_and_catch_833939156,tool_use,medium,1.0,perfect run simulated
tool_reach_height_1203552594,tool_use,medium,1.0,perfect run simulated
tool_clear_path_1847854447,tool_use,medium,1.0,perfect run simulated
tool_bridge_gap_1185694170,tool_use,medium,1.0,perfect run simulated
tool_lever_advantage_552725974,tool_use,medium,1.0,perfect run simulated
tool_redirect_ball_18508462,tool_use,medium,1.0,perfect run simulated
tool_clear_path_1113771356,tool_use,hard,1.0,perfect run simulated
tool_launch_and_catch_2023283884,tool_use,hard,1.0,perfect run simulated
tool_redirect_ball_1432332949,tool_use,hard,1.0,perfect run simulated
tool_lever_advantage_1829572957,tool_use,hard,1.0,perfect run simulated
tool_bridge_gap_918888369,tool_use,hard,1.0,perfect run simulated
tool_reach_height_1059244594,tool_use,hard,1.0,perfect run simulated
tool_clear_path_948681886,tool_use,hard,1.0,perfect run simulated
tool_launch_and_catch_1686646288,tool_use,hard,1.0,perfect run simulated
tool_redirect_ball_2084790275,tool_use,hard,1.0,perfect run simulated
tool_lever_advantage_2112687464,tool_use,hard,1.0,perfect run simulated
tool_bridge_gap_433930677,tool_use,hard,1.0,perfect run simulated
tool_reach_height_1845834915,tool_use,hard,1.0,perfect run simulated
tool_clear_path_1619063528,tool_use,hard,1.0,perfect run simulated
tool_launch_and_catch_1204427551,tool_use,hard,1.0,perfect run simulated
tool_redirect_ball_240712544,tool_use,hard,1.0,perfect run simulated
tool_lever_advantage_1410998643,tool_use,hard,1.0,perfect run simulated
replan_new_obstacle_1519882979,replan,easy,1.0,perfect recovery simulated
replan_structural_failure_716912357,replan,easy,1.0,perfect recovery simulated
replan_material_change_556647531,replan,easy,1.0,perfect recovery simulated
replan_missing_tool_1427324500,replan,easy,1.0,perfect recovery simulated
replan_position_drift_1553769744,replan,easy,1.0,perfect recovery simulated
replan_new_obstacle_1960172788,replan,easy,1.0,perfect recovery simulated
replan_structural_failure_1581100958,replan,easy,1.0,perfect recovery simulated
